# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
1.0 50.0 2421000.0 1156.0 4.6362 -3283.6 -16250.0 18.405 15.563 2.3667 1.2359 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1156.0 2421000.0 1199.04465127 0.0 0.0 0.0 
1.0 50.0 1345500.0 1031.7 2.8871 -3573.7 -15146.0 18.405 15.563 2.2987 1.2446 1.7299 0.99999 1.0 0.65472 142.912502549 75.8994493167 147.216994518 1157.87438647 2420185.72369 1197.02029223 0.00196523416571 4756.23167155 3.97339268384 
1.0 50.0 91914.0 585.54 0.34748 -4535.0 -11103.0 18.405 15.563 1.9941 1.2929 19.691 2.5109 4.0 1.4286 189.159698144 165.612890067 160.131365035 1126.17577163 1648977.99675 1164.70221388 0.00132188325688 2179.75640487 1.87151391909 
1.0 50.0 2422000.0 1156.0 4.6381 -3283.6 -16250.0 18.406 15.563 2.3667 1.2359 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1156.0 2422000.0 1199.04465127 0.0 0.0 0.0 
1.0 50.0 1346100.0 1031.7 2.8882 -3573.7 -15146.0 18.406 15.563 2.2987 1.2446 1.7299 0.99999 1.0 0.65472 142.912502549 75.8994493167 147.219272506 1157.87438647 2421264.95924 1197.02029223 0.00196435819773 4756.23167155 3.97339268384 
1.0 50.0 91953.0 585.57 0.34762 -4535.0 -11103.0 18.406 15.563 1.9941 1.2929 19.691 2.5109 4.0 1.4286 189.169895982 165.612890067 160.147849236 1126.23347098 1649677.67408 1164.73205012 0.00132132260691 2179.75640487 1.87146597765 
1.0 50.0 2423000.0 1156.0 4.6399 -3283.6 -16250.0 18.406 15.563 2.3667 1.2359 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1156.0 2423000.0 1199.04465127 0.0 0.0 0.0 
1.0 50.0 1346600.0 1031.7 2.8894 -3573.7 -15146.0 18.406 15.563 2.2987 1.2446 1.7299 0.99999 1.0 0.65472 142.912502549 75.9004691006 147.221169279 1157.87438647 2422164.3222 1197.02029223 0.0019636288207 4756.23167155 3.97339268384 
1.0 50.0 91991.0 585.59 0.34775 -4535.0 -11103.0 18.406 15.563 1.9941 1.2929 19.692 2.5109 4.0 1.4286 189.169895982 165.612890067 160.162638843 1126.2719372 1650359.41096 1164.75194052 0.00132077678983 2179.75640487 1.87143401874 
1.0 50.0 2424000.0 1156.0 4.6418 -3283.6 -16250.0 18.406 15.563 2.3667 1.2359 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1156.0 2424000.0 1199.04465127 0.0 0.0 0.0 
1.0 50.0 1347200.0 1031.7 2.8906 -3573.7 -15146.0 18.406 15.563 2.2987 1.2446 1.7299 0.99999 1.0 0.65472 142.912502549 75.9004691006 147.223443548 1157.87438647 2423243.55775 1197.02029223 0.00196275428293 4756.23167155 3.97339268384 
