# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 at p0at m_dot 
4.0 20.0 3000000.0 2339.2 3.1225 -5495.9 -33974.0 0.0 20.243 2.4119 1.2052 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2339.2 3000000.0 0.0 0.0 0.0 
4.0 20.0 1687200.0 2118.7 1.9388 -6022.5 -31817.0 0.0 20.243 2.3644 1.2102 1.7738 0.99999 1.0 0.67822 1877.0 1025.0 191.128255125 2341.37091651 2999445.18571 0.00153075993225 4591.43050927 3.04567507693 
4.0 20.0 123810.0 1311.2 0.2299 -7836.4 -23800.0 0.0 20.243 2.1011 1.243 23.608 2.6345 4.0 1.4335 2422.5 2166.4 246.916965097 2416.9109852 2826945.65407 0.000768428477832 2172.30554587 1.43189649835 
4.0 20.0 3200000.0 2339.4 3.3304 -5495.9 -33915.0 0.0 20.244 2.4119 1.2052 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2339.4 3200000.0 0.0 0.0 0.0 
4.0 20.0 1799700.0 2118.9 2.0679 -6022.6 -31764.0 0.0 20.244 2.3644 1.2102 1.7739 0.99999 1.0 0.67825 1877.0 1025.0 191.132558278 2341.59193609 3199443.75339 0.00143500801308 4591.22742352 3.04547184674 
4.0 20.0 132070.0 1311.4 0.24521 -7836.6 -23767.0 0.0 20.244 2.1012 1.243 23.609 2.6345 4.0 1.4335 2422.5 2166.4 246.929710563 2417.27964154 3015545.69528 0.000720368969791 2172.30554587 1.43182267036 
4.0 20.0 3400000.0 2339.6 3.5384 -5495.9 -33859.0 0.0 20.244 2.4119 1.2052 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2339.6 3400000.0 0.0 0.0 0.0 
4.0 20.0 1912100.0 2119.1 2.197 -6022.6 -31713.0 0.0 20.244 2.3645 1.2102 1.7739 0.99999 1.0 0.67827 1877.0 1025.1 191.141581295 2341.81295567 3399264.54457 0.00135061334086 4591.09204299 3.04523833107 
4.0 20.0 140330.0 1311.5 0.26051 -7836.8 -23737.0 0.0 20.244 2.1013 1.2429 23.609 2.6346 4.0 1.4335 2422.5 2166.4 246.930550109 2417.09276762 3204947.90803 0.000677797458245 2172.30554587 1.43183698891 
4.0 20.0 3600000.0 2339.8 3.7463 -5495.9 -33807.0 0.0 20.245 2.412 1.2052 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2339.8 3600000.0 0.0 0.0 0.0 
4.0 20.0 2024600.0 2119.3 2.3261 -6022.6 -31666.0 0.0 20.245 2.3645 1.2102 1.7739 0.99999 1.0 0.6783 1877.0 1025.1 191.145882578 2342.03397525 3599263.11225 0.00127550802595 4590.88898717 3.04503516336 
