# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
4.0 30.0 2539.8 2.934 -5080.6 -36074.0 0.0 20.653 2.4145 1.2001 1.0 0.0 0.0 0.0 0.0 0.0 2539.8 0.0 0.0 0.0 
4.0 16.906 2306.2 1.8208 -5639.7 -33783.0 0.0 20.653 2.3719 1.2044 1.7682 0.99998 1.0 0.67505 1940.2 1055.7 2541.88421235 153.793304697 4612.99163025 2.96137264171 
4.0 0.91398 1364.4 0.16639 -7758.7 -24409.0 0.0 20.653 2.0943 1.238 31.969 2.7933 5.0 1.4845 2566.3 2321.7 2631.24603023 75.3667290927 2097.67598518 1.3366604192 
4.0 32.0 2540.4 3.129 -5080.6 -36016.0 0.0 20.654 2.4146 1.2001 1.0 0.0 0.0 0.0 0.0 0.0 2540.4 0.0 0.0 0.0 
4.0 18.033 2306.8 1.9418 -5639.8 -33730.0 0.0 20.654 2.372 1.2044 1.7683 0.99999 1.0 0.67512 1940.3 1055.9 2542.55024492 144.165231339 4612.51333096 2.96074940913 
4.0 0.97498 1364.9 0.17745 -7759.3 -24379.0 0.0 20.654 2.0945 1.2379 31.972 2.7934 5.0 1.4845 2566.3 2321.7 2631.76849994 70.6311413011 2097.67598518 1.33652159688 
4.0 34.0 2541.0 3.324 -5080.6 -35961.0 0.0 20.655 2.4147 1.2001 1.0 0.0 0.0 0.0 0.0 0.0 2541.0 0.0 0.0 0.0 
4.0 19.16 2307.4 2.0629 -5639.9 -33681.0 0.0 20.655 2.3721 1.2044 1.7684 0.99999 1.0 0.67519 1940.4 1056.0 2543.2115637 135.671299103 4612.03513085 2.9601291809 
4.0 1.036 1365.3 0.1885 -7759.8 -24352.0 0.0 20.655 2.0946 1.2379 31.974 2.7935 5.0 1.4845 2566.3 2321.7 2632.63050327 66.4590746481 2097.67598518 1.33633511938 
4.0 36.0 2541.5 3.519 -5080.6 -35909.0 0.0 20.656 2.4148 1.2 1.0 0.0 0.0 0.0 0.0 0.0 2541.5 0.0 0.0 0.0 
4.0 20.287 2307.9 2.1838 -5640.0 -33634.0 0.0 20.656 2.3722 1.2044 1.7685 0.99999 1.0 0.67525 1940.4 1056.1 2543.76266268 128.122990736 4611.62532395 2.95961715653 
4.0 1.097 1365.7 0.19956 -7760.2 -24326.0 0.0 20.656 2.0948 1.2379 31.976 2.7936 5.0 1.4845 2566.4 2321.8 2633.49256302 62.752283248 2097.67598518 1.33614872366 
4.0 38.0 2542.0 3.7139 -5080.6 -35859.0 0.0 20.657 2.4149 1.2 1.0 0.0 0.0 0.0 0.0 0.0 2542.0 0.0 0.0 0.0 
4.0 21.415 2308.4 2.3048 -5640.0 -33589.0 0.0 20.657 2.3723 1.2043 1.7686 0.99999 1.0 0.6753 1940.5 1056.2 2544.19834396 121.369509584 4611.28387383 2.95912804449 
4.0 1.158 1366.0 0.21061 -7760.6 -24301.0 0.0 20.657 2.0949 1.2378 31.977 2.7937 5.0 1.4845 2566.4 2321.8 2633.62877647 59.4296418309 2097.67598518 1.33610802713 
4.0 40.0 2542.5 3.9089 -5080.6 -35812.0 0.0 20.658 2.4149 1.2 1.0 0.0 0.0 0.0 0.0 0.0 2542.5 0.0 0.0 0.0 
4.0 22.542 2308.8 2.4258 -5640.1 -33547.0 0.0 20.658 2.3724 1.2043 1.7687 0.99999 1.0 0.67535 1940.6 1056.3 2544.63920315 115.293036089 4610.94247427 2.9587242495 
4.0 1.219 1366.4 0.22166 -7761.0 -24277.0 0.0 20.658 2.095 1.2378 31.979 2.7938 5.0 1.4845 2566.4 2321.9 2634.49074814 56.4455970847 2097.67598518 1.33592176517 
4.0 42.0 2542.9 4.1038 -5080.6 -35768.0 0.0 20.659 2.415 1.2 1.0 0.0 0.0 0.0 0.0 0.0 2542.9 0.0 0.0 0.0 
4.0 23.669 2309.2 2.5468 -5640.2 -33507.0 0.0 20.659 2.3725 1.2043 1.7688 0.99999 1.0 0.6754 1940.6 1056.4 2545.08006233 109.795226658 4610.60112526 2.95832056676 
4.0 1.28 1366.7 0.23271 -7761.4 -24254.0 0.0 20.659 2.0951 1.2378 31.981 2.7938 5.0 1.4845 2566.4 2321.9 2635.06916385 53.7556115986 2097.67598518 1.33580746544 
4.0 44.0 2543.3 4.2987 -5080.6 -35725.0 0.0 20.66 2.4151 1.2 1.0 0.0 0.0 0.0 0.0 0.0 2543.3 0.0 0.0 0.0 
4.0 24.796 2309.6 2.6677 -5640.2 -33468.0 0.0 20.66 2.3725 1.2043 1.7689 0.99999 1.0 0.67545 1940.7 1056.4 2545.52092151 104.797178921 4610.25982678 2.95791699623 
4.0 1.3411 1367.0 0.24376 -7761.7 -24232.0 0.0 20.66 2.0952 1.2377 31.982 2.7939 5.0 1.4845 2566.5 2321.9 2635.20486826 51.2918162479 2097.67598518 1.33576692041 
5.0 30.0 2740.3 2.8662 -5337.9 -38295.0 0.0 21.768 2.4322 1.1863 1.0 0.0 0.0 0.0 0.0 0.0 2740.3 0.0 0.0 0.0 
5.0 16.992 2504.6 1.7762 -5907.0 -36029.0 0.0 21.768 2.3945 1.1898 1.7512 1.0 1.0 0.66546 1974.6 1062.7 2742.28654 156.00026955 4679.46984041 2.95625502737 
5.0 0.94961 1542.9 0.16114 -8103.8 -26660.0 0.0 21.768 2.1423 1.217 30.773 2.7551 5.0 1.4849 2630.7 2371.3 2813.59772025 75.9864432565 2097.11091656 1.31861133951 
5.0 32.0 2742.3 3.0556 -5337.9 -38251.0 0.0 21.772 2.4325 1.1862 1.0 0.0 0.0 0.0 0.0 0.0 2742.3 0.0 0.0 0.0 
5.0 18.125 2506.5 1.8936 -5907.3 -35990.0 0.0 21.772 2.3948 1.1897 1.7515 1.0 1.0 0.66564 1974.9 1063.1 2744.241525 146.21414911 4678.20443483 2.95458470669 
5.0 1.0131 1544.4 0.17178 -8105.4 -26641.0 0.0 21.772 2.1429 1.2169 30.783 2.7555 5.0 1.4849 2630.9 2371.5 2816.11613077 71.1643398301 2097.11091656 1.31810390944 
5.0 34.0 2744.1 3.245 -5337.9 -38210.0 0.0 21.776 2.4328 1.1862 1.0 0.0 0.0 0.0 0.0 0.0 2744.1 0.0 0.0 0.0 
5.0 19.258 2508.2 2.0109 -5907.6 -35953.0 0.0 21.776 2.3951 1.1896 1.7518 1.0 1.0 0.66581 1975.2 1063.4 2745.97736 137.581600565 4677.0099578 2.95307841862 
5.0 1.0767 1545.8 0.18242 -8106.8 -26624.0 0.0 21.776 2.1434 1.2168 30.791 2.7558 5.0 1.4849 2631.0 2371.6 2818.35914645 66.9164880019 2097.11091656 1.31766154796 
5.0 36.0 2745.8 3.4344 -5337.9 -38170.0 0.0 21.78 2.4331 1.1861 1.0 0.0 0.0 0.0 0.0 0.0 2745.8 0.0 0.0 0.0 
5.0 20.392 2509.8 2.1283 -5907.8 -35918.0 0.0 21.78 2.3954 1.1896 1.752 1.0 1.0 0.66596 1975.4 1063.7 2747.72904 129.901416396 4675.9565139 2.95174310092 
5.0 1.1402 1547.1 0.19306 -8108.2 -26606.0 0.0 21.78 2.1438 1.2167 30.799 2.7561 5.0 1.4849 2631.1 2371.8 2820.41907172 63.1480354709 2097.11091656 1.31726247954 
5.0 38.0 2747.4 3.6237 -5337.9 -38132.0 0.0 21.783 2.4333 1.186 1.0 0.0 0.0 0.0 0.0 0.0 2747.4 0.0 0.0 0.0 
5.0 21.525 2511.3 2.2456 -5908.0 -35884.0 0.0 21.783 2.3957 1.1895 1.7523 1.0 1.0 0.66611 1975.6 1064.0 2749.245675 123.040408876 4674.90354446 2.95037817197 
5.0 1.2037 1548.2 0.20369 -8109.4 -26590.0 0.0 21.783 2.1442 1.2166 30.806 2.7565 5.0 1.4849 2631.2 2372.0 2822.20611746 59.7662032897 2097.11091656 1.31689729208 
5.0 40.0 2748.8 3.8129 -5337.9 -38095.0 0.0 21.786 2.4335 1.186 1.0 0.0 0.0 0.0 0.0 0.0 2748.8 0.0 0.0 0.0 
5.0 22.658 2512.7 2.3628 -5908.2 -35852.0 0.0 21.786 2.3959 1.1895 1.7525 1.0 1.0 0.66624 1975.8 1064.3 2750.778325 116.865037673 4673.99135447 2.94918365806 
5.0 1.2673 1549.3 0.21432 -8110.6 -26574.0 0.0 21.786 2.1446 1.2165 30.812 2.7567 5.0 1.4849 2631.3 2372.1 2823.80762596 56.7397279578 2097.11091656 1.31657570376 
5.0 42.0 2750.2 4.0021 -5337.9 -38061.0 0.0 21.789 2.4337 1.1859 1.0 0.0 0.0 0.0 0.0 0.0 2750.2 0.0 0.0 0.0 
5.0 23.791 2514.0 2.48 -5908.4 -35821.0 0.0 21.789 2.3962 1.1894 1.7527 1.0 1.0 0.66637 1976.0 1064.6 2752.0758 111.281705207 4673.07952039 2.9480268769 
5.0 1.3308 1550.4 0.22495 -8111.7 -26559.0 0.0 21.789 2.145 1.2164 30.818 2.757 5.0 1.4849 2631.4 2372.2 2825.50090119 53.996631363 2097.11091656 1.31623301435 
5.0 44.0 2751.5 4.1913 -5337.9 -38027.0 0.0 21.792 2.4339 1.1859 1.0 0.0 0.0 0.0 0.0 0.0 2751.5 0.0 0.0 0.0 
5.0 24.924 2515.2 2.5972 -5908.6 -35791.0 0.0 21.792 2.3964 1.1894 1.7529 1.0 1.0 0.66648 1976.2 1064.8 2753.38944 106.205508274 4672.30824631 2.94703995712 
5.0 1.3944 1551.4 0.23558 -8112.7 -26544.0 0.0 21.792 2.1454 1.2163 30.824 2.7572 5.0 1.4849 2631.5 2372.4 2826.91876013 51.5091880618 2097.11091656 1.31595473361 
6.0 30.0 2802.8 2.8907 -5521.7 -38773.0 0.0 22.455 2.4311 1.1797 1.0 0.0 0.0 0.0 0.0 0.0 2802.8 0.0 0.0 0.0 
6.0 17.033 2569.6 1.7901 -6084.5 -36569.0 0.0 22.455 2.3952 1.1829 1.7323 0.99999 1.0 0.65532 1976.9 1051.0 2804.58522023 158.41272764 4751.87694561 3.00863600962 
6.0 0.96637 1612.6 0.16184 -8275.8 -27407.0 0.0 22.455 2.1542 1.2076 29.334 2.7058 5.0 1.4877 2659.5 2386.1 2838.10586453 80.8324842054 2093.16394434 1.32725912553 
6.0 32.0 2806.3 3.0806 -5521.7 -38747.0 0.0 22.463 2.4317 1.1796 1.0 0.0 0.0 0.0 0.0 0.0 2806.3 0.0 0.0 0.0 
