# of f p t rho h g m mw cp gam pip mach aeat cf ivac isp isp_opt t0 p0 c_star at p0at m_dot 
4.0 20.0 2800000.0 784.21 9.2587 -7590.1 -14979.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2800000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1528200.0 683.74 5.7959 -7761.3 -14204.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.575794206 785.754008 2798813.71899 825.310951884 0.00157000330253 4394.146782 5.32423176012 
4.0 20.0 96077.0 348.98 0.71391 -8295.3 -11583.0 21.561 21.561 1.5219 1.3394 28.059 2.9643 4.0 1.4335 132.694268815 120.69141342 127.820128821 869.367299462 3523495.84843 858.695837053 0.000616519967473 2172.30554587 2.52977300242 
4.0 20.0 2825000.0 784.21 9.3414 -7590.1 -14976.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2825000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1541900.0 683.74 5.8477 -7761.3 -14201.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.602866976 785.754008 2823904.51074 825.310951884 0.00155605360071 4394.146782 5.32423176012 
4.0 20.0 96935.0 348.98 0.72028 -8295.3 -11582.0 21.561 21.561 1.5219 1.3394 28.043 2.9632 4.0 1.4334 132.704466653 120.69141342 127.860997936 868.981157829 3548734.6581 858.505114996 0.000612177946316 2172.45709502 2.53051153344 
4.0 20.0 2850000.0 784.21 9.4241 -7590.1 -14974.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2850000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1555500.0 683.74 5.8994 -7761.3 -14199.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.629270459 785.754008 2848812.15803 825.310951884 0.00154244876048 4394.146782 5.32423176012 
4.0 20.0 97792.0 348.98 0.72666 -8295.3 -11581.0 21.561 21.561 1.5219 1.3394 28.028 2.9621 4.0 1.4333 132.704466653 120.681215582 127.900468661 868.595159514 3573837.23191 858.31442137 0.000607920429594 2172.60866532 2.53125033347 
4.0 20.0 2875000.0 784.21 9.5067 -7590.1 -14971.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2875000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1569200.0 683.74 5.9512 -7761.3 -14197.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.655405355 785.754008 2873902.94977 825.310951884 0.00152898231388 4394.146782 5.32423176012 
4.0 20.0 98650.0 348.98 0.73303 -8295.3 -11580.0 21.561 21.561 1.5219 1.3394 28.012 2.9611 4.0 1.4333 132.704466653 120.681215582 127.943145865 868.24437632 3599450.73869 858.141088215 0.000603594499007 2172.60866532 2.53176161258 
4.0 20.0 2900000.0 784.21 9.5894 -7590.1 -14968.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2900000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1582800.0 683.74 6.0029 -7761.3 -14194.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.680902004 785.754008 2898810.59706 825.310951884 0.00151584473524 4394.146782 5.32423176012 
4.0 20.0 99508.0 348.98 0.73941 -8295.3 -11579.0 21.561 21.561 1.5219 1.3394 27.997 2.9601 4.0 1.4332 132.704466653 120.671017744 127.984570275 867.89371157 3624973.20143 857.967778587 0.000599386570889 2172.76025677 2.53244971547 
4.0 20.0 2925000.0 784.21 9.6721 -7590.1 -14966.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2925000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1596400.0 683.74 6.0547 -7761.3 -14192.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.705964232 785.754008 2923718.24434 825.310951884 0.00150293099908 4394.146782 5.32423176012 
4.0 20.0 100370.0 348.98 0.74578 -8295.3 -11578.0 21.561 21.561 1.5219 1.3394 27.981 2.959 4.0 1.4331 132.704466653 120.671017744 128.020819253 867.508117148 3649968.34483 857.777165187 0.000595323483408 2172.91186937 2.53318922159 
4.0 20.0 2950000.0 784.21 9.7547 -7590.1 -14963.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2950000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1610100.0 683.74 6.1064 -7761.3 -14190.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.730782675 785.754008 2948809.03609 825.310951884 0.00149014287742 4394.146782 5.32423176012 
4.0 20.0 101220.0 348.98 0.75215 -8295.3 -11576.0 21.561 21.561 1.5219 1.3394 27.966 2.958 4.0 1.4331 132.704466653 120.660819906 128.059078053 867.15770113 3675014.59995 857.603905011 0.000591266186916 2172.91186937 2.53370099725 
4.0 20.0 2975000.0 784.21 9.8374 -7590.1 -14961.0 21.561 21.561 1.7295 1.287 1.0 0.0 0.0 0.0 0.0 0.0 0.0 784.21 2975000.0 827.067677934 0.0 0.0 0.0 
4.0 20.0 1623700.0 683.74 6.1582 -7761.3 -14188.0 21.561 21.561 1.6778 1.2984 1.8322 1.0 1.0 0.70867 105.61900877 59.6685702631 102.755005724 785.754008 2973716.68337 825.310951884 0.00147766154273 4394.146782 5.32423176012 
